# center_row center_col major_diameter minor_diameter angle_deg score
254.785 163.932 65.0886 34.7454 30.4667 0.816537
252.011 239.023 68.6578 48.8132 -71.1807 0.858164
255.771 41.934 59.2316 52.6315 2.17396 0.809902
215.135 114.048 71.4193 45.0931 12.8407 0.830919
44.0366 256.073 46.6847 34.6339 48.8948 0.910894
60.1242 184.69 65.7774 36.8292 -54.9888 0.804225
162.987 76.989 44.6144 40.8844 -71.2525 0.853622
139.078 194.955 64.632 30.9154 26.6982 0.841249
17.9996 208.018 37.5193 33.3468 -58.905 0.885726
131.95 108.857 48.9921 42.8564 28.8117 0.836594
210.863 161.734 48.3436 40.9073 17.0991 0.83526
178.283 116.85 34.9953 31.2001 -68.2129 0.798456
