# center_row center_col major_diameter minor_diameter angle_deg score
242.583 94.2659 65.3599 47.5653 -24.874 0.953529
102.617 51.34 75.5042 65.4875 23.8942 0.933813
236.472 191.213 69.2714 43.6384 -77.7117 0.949122
99.5511 259.282 82.4765 64.3435 55.1111 0.924642
129.162 155.582 76.7031 68.5021 -54.6139 0.903122
26.5281 189.942 48.3002 43.3061 -85.0806 0.925726
210.566 145.298 82.6054 48.0798 20.5785 0.901113
179.738 247.388 63.8671 37.4663 30.5104 0.895995
213.521 45.1748 65.4741 43.6074 -56.7676 0.893824
220.693 268.247 45.1201 41.724 14.052 0.942391
89.3855 115.365 65.7636 39.5881 -38.553 0.918375
77.4986 201.122 81.2792 45.7735 -66.6598 0.861429
43.4794 142.216 68.261 48.1385 87.7654 0.889604
129.357 31.1976 47.2565 41.9869 -87.8262 0.944756
44.4444 59.3804 36.1101 35.8336 74.0085 0.8805
193.414 178.55 57.3063 45.772 39.8745 0.911632
51.2002 28.3277 37.3574 29.736 67.0464 0.882707
119.166 216.949 40.6703 30.7292 18.3086 0.897077
194.51 91.2657 35.2964 32.4108 -21.9756 0.903543
