# center_row center_col major_diameter minor_diameter angle_deg score
60.6493 115.717 61.3124 59.1519 -82.7286 0.90844
71.2926 264.364 63.7594 36.5538 -52.0152 0.906069
182.857 110.222 66.7302 50.8458 16.7914 0.916176
254.44 242.136 39.7757 29.7697 70.2518 0.951924
197.786 250.462 61.7674 55.8754 -5.11423 0.880973
43.5719 41.302 43.5344 35.7555 -10.2036 0.952784
116.462 266.931 48.3512 39.6429 54.0138 0.937392
213.905 63.6919 69.5387 54.4898 57.0411 0.938455
208.502 141.957 78.9511 48.3909 60.5531 0.918253
113.445 237.309 47.6275 41.7911 -68.5168 0.914015
215.428 218.382 64.0859 47.6514 -36.3227 0.902117
173.349 230.297 45.5093 39.5162 -71.4872 0.90593
43.5719 212.832 47.4245 33.8577 77.3611 0.92521
83.5908 178.527 74.1861 66.0614 51.5942 0.897421
248.238 48.3996 44.4101 43.3549 -27.9058 0.862216
97.5752 87.0563 68.0691 43.9315 -29.7682 0.895043
158.462 146.834 51.2887 32.0365 3.70879 0.896965
183.636 167.337 52.0579 40.2417 70.0927 0.91924
237.49 85.1494 48.3703 46.5638 -42.3784 0.854889
102.06 33.6636 44.4976 32.4563 -11.1476 0.911579
112.571 168.284 64.1733 44.3463 44.1294 0.877106
84.4551 43.428 45.2187 32.9382 -66.7385 0.923782
100.454 120.613 56.6296 41.8472 -25.8002 0.81959
54.4869 221.316 40.2264 34.0315 46.0981 0.887532
197.429 123.287 37.887 28.4234 -27.2548 0.913008
91.195 36.4685 27.548 16.6169 71.2116 0.908905
