# center_row center_col major_diameter minor_diameter angle_deg score
75.0483 253.01 61.4654 49.2931 47.8257 0.906213
140.979 106.995 66.6595 46.7791 68.7223 0.834538
102.024 193.013 56.4275 34.8364 18.9486 0.871755
77.9471 130.066 54.9235 53.0656 -41.3023 0.9106
50.0106 45.9138 65.3028 37.4448 64.469 0.820064
179.87 150.084 46.8766 32.8621 -11.7947 0.820038
104.98 32.9937 42.661 34.8026 -57.5388 0.947166
209.126 217.106 49.0196 46.8584 28.7613 0.797597
43.9441 170.316 57.0027 44.252 -7.23728 0.780945
129.061 248.033 58.8628 54.7573 38.9878 0.82113
118.538 156.767 37.7269 30.0753 41.1633 0.868472
165.958 270.027 39.378 35.6219 55.4002 0.799787
