# center_row center_col major_diameter minor_diameter angle_deg score
180.003 169.996 65.5215 39.532 -31.0101 0.827765
30.009 108.001 61.2644 33.4569 38.8787 0.883757
165.065 63.9249 52.9426 34.6944 -61.1936 0.895686
43.0221 70.0555 66.7097 42.7891 9.06769 0.836209
219.738 94.0158 49.3864 44.5858 -4.55183 0.81207
113.297 160.065 58.0237 54.9845 41.8394 0.795371
223.48 27.5949 60.7122 45.9254 -42.6556 0.828537
214.991 175.898 48.6984 35.3281 74.2062 0.839352
277.579 149.132 48.5962 31.7502 59.1746 0.837779
107.98 58.6741 63.6272 32.3604 69.6488 0.790116
121.334 45.594 73.1575 37.9109 -44.055 0.789928
84.6662 19.9033 36.7673 32.8285 -86.5292 0.844107
204.345 35.7371 63.9648 30.6634 21.6033 0.821184
254.48 154.936 49.6076 48.1143 26.8022 0.798386
