# center_row center_col major_diameter minor_diameter angle_deg score
202.215 233.78 376.706 354.958 -19.3896 0.798146
193.226 92.8803 28.2814 26.5747 -89.7488 0.944094
151.922 349.403 28.4946 25.7968 84.8753 0.917014
266.436 125.821 27.4461 25.0956 76.3832 0.935386
259.439 184.501 26.2395 24.7791 -65.9101 0.916276
312.817 285.645 25.8819 22.6213 89.7973 0.92798
93.809 146.591 25.9547 18.9545 86.3325 0.913742
159.747 147.893 24.7252 22.7221 -67.44 0.92363
285.677 273.772 23.6625 22.6584 -82.4857 0.923755
91.8611 269.583 23.6428 21.2932 89.3384 0.919932
127.887 108.052 22.7531 20.5288 -84.6811 0.910477
212.478 135.82 28.4896 27.0413 -69.6322 0.820377
308.512 188.831 26.9865 23.3306 75.9201 0.842266
60.2034 316.578 21.3509 18.8542 85.0225 0.911602
276.987 322.12 22.7721 21.5802 89.9319 0.917782
306.226 223.147 53.8131 37.424 1.21015 0.811171
