# center_row center_col major_diameter minor_diameter angle_deg score
248.797 242.97 67.0105 55.0835 -67.8014 0.815295
71.0815 214.456 73.1548 66.2326 -22.9079 0.787561
159.133 48.9937 49.6497 45.5038 -19.8114 0.845559
245.953 72.0213 85.4408 53.5099 -26.6514 0.828169
253.056 128.002 68.6565 50.6941 51.2148 0.782053
220.336 239.86 76.8973 51.0778 -48.2552 0.804633
140.005 162.979 70.5928 46.783 78.3774 0.786161
138.756 265.947 76.5256 32.9791 -15.4678 0.890443
81.0008 159.023 57.5802 47.4033 72.9715 0.829133
41.9504 69.9402 61.3687 61.1339 -24.8106 0.787462
