# center_row center_col major_diameter minor_diameter angle_deg score
183.592 268.208 71.8756 48.7234 19.1237 0.924112
37.5921 251.249 49.7711 37.563 30.9736 0.962303
209.628 106.334 74.7414 58.3757 -9.05185 0.876006
145.95 231.673 70.389 62.5337 0.68677 0.897872
122.9 100.357 82.8337 46.0496 12.9064 0.925516
94.4227 118.213 84.3208 46.4371 -59.5153 0.94493
170.22 59.426 53.683 40.4482 -22.1822 0.947407
44.3396 87.3944 54.024 42.2735 13.5283 0.92226
202.367 213.822 73.3792 58.8073 51.6163 0.898265
83.1019 67.0558 67.7693 53.7831 -79.9648 0.875245
67.5249 190.275 66.1681 60.2471 -20.9768 0.897766
270.847 132.564 37.3402 25.9904 63.373 0.894334
210.1 180.944 73.1659 34.3678 -58.2962 0.929376
238.757 71.6184 64.8205 50.1479 48.2823 0.900172
204.823 39.1565 53.6574 44.222 -69.5551 0.861207
169.558 157.201 52.1267 34.2983 65.8852 0.91375
68.6227 223.073 44.9287 40.788 20.301 0.924511
276.429 116.68 74.0528 37.5831 -75.1511 0.92071
151.405 172.947 73.686 44.2411 40.2117 0.920194
38.8378 189.775 76.6144 33.8462 43.1013 0.877403
