30
126.9428	259.0143	42.6936	42.3607	-66.1844
179.5349	235.3769	64.7741	56.9560	6.9401
112.6236	287.5742	72.0632	70.1614	-8.7977
194.4425	207.8074	80.8258	46.2994	4.7185
166.7816	278.8360	78.7677	44.8201	53.2217
97.4902	163.7537	63.8315	54.5612	15.9894
307.4047	118.7052	88.6542	78.6511	-65.1845
305.2848	227.2134	65.6728	40.7323	-17.1890
328.1266	222.1136	63.1723	56.2789	9.7016
341.4281	238.5914	91.0023	76.7881	-20.5527
300.0447	270.0798	80.2630	76.1696	-56.0834
335.3531	163.2696	96.7230	64.7017	19.2143
110.9636	510.5269	60.0329	52.7537	83.8721
125.8857	546.7271	49.0924	44.4394	-87.3323
137.5274	522.5846	71.3954	64.0420	-88.5695
114.1153	533.7006	46.2202	40.9233	39.9827
117.4318	495.2611	74.4193	73.6588	53.2838
58.3450	504.0089	64.3820	50.5117	88.0885
360.4947	350.5690	64.6676	64.4963	31.5960
434.7980	446.6039	92.9456	44.0686	83.2672
441.6840	337.3732	87.1043	67.5905	-45.6124
311.8869	416.5477	85.8710	62.4340	-31.6214
433.9577	410.2887	64.8324	42.5208	-75.3303
460.6024	377.4811	75.8181	70.6705	-30.8698
456.5493	194.7386	83.6528	69.9140	-64.4279
455.1575	153.0505	90.5984	53.7675	46.4044
474.3059	233.8687	71.5939	62.4110	12.8196
505.5776	156.1900	67.6480	42.7678	-57.2026
475.6062	155.0961	83.6875	47.6466	6.0210
519.4274	260.5445	73.6962	40.4260	77.7713
