# center_row center_col major_diameter minor_diameter angle_deg score
207.004 207.66 61.4977 56.2739 71.0643 0.949026
213.436 53.3939 78.4047 46.3188 -9.08284 0.91896
117.55 53.0559 79.7854 58.3316 -87.4987 0.907327
72.8268 73.8988 80.1044 58.9895 -23.4141 0.922204
128.398 230.203 76.2176 34.2781 -40.9577 0.892498
29.4973 238.177 57.3887 29.6439 -59.8606 0.920234
194.64 114.288 66.263 48.4303 51.13 0.908508
262.551 184.234 67.6324 59.8349 27.9006 0.903803
118.486 176.19 74.2318 38.2789 -63.3703 0.936416
26.8014 279.693 32.3533 29.5827 29.3092 0.942751
78.558 165.303 46.5196 44.3102 48.7228 0.92582
243.496 31.2615 64.3764 52.4505 54.9091 0.934731
109.566 270.912 46.9202 38.5284 67.5855 0.793937
237.56 118.32 31.7198 29.6748 54.5884 0.886801
105.529 96.4981 56.5389 45.6502 30.0927 0.93877
258.426 49.9788 67.6393 33.01 62.1231 0.880003
80.4234 242.995 66.1638 51.7399 30.6736 0.898318
117.546 150.257 55.6545 51.9855 -30.0632 0.913872
196.466 155.19 57.2819 38.1058 1.19387 0.934746
262.257 153.518 50.309 39.6116 59.4876 0.884171
255.147 33.2858 35.4492 21.0656 41.2466 0.803176
