# center_row center_col major_diameter minor_diameter angle_deg score
169.908 87.6088 90.21 65.7523 59.1373 0.965046
62.4733 244.106 73.8835 57.7319 42.4715 0.950207
89.4927 141.303 82.1958 70.4223 -8.18464 0.917999
104.597 181.361 111.625 63.6396 22.6747 0.927342
229.43 217.232 92.389 50.3531 -52.8935 0.940528
45.6127 176.309 100.121 50.4012 53.7832 0.881424
246.363 111.73 73.2297 38.6564 -67.5499 0.912971
121.83 52.3933 46.2701 33.8861 12.6414 0.912886
236.523 241.218 58.1064 56.6842 67.5831 0.949571
271.505 54.6659 50.0068 31.8683 -41.7019 0.912107
255.496 54.2276 38.0596 34.1904 10.6293 0.93354
