# center_row center_col major_diameter minor_diameter angle_deg score
124.949 51.0327 69.0072 58.7576 -56.2686 0.816221
93.91 220.019 67.2894 55.617 -84.347 0.862628
28.6062 246.157 66.6632 56.3204 -85.5168 0.869897
38.2493 90.0529 73.2427 54.5709 22.5652 0.803313
271.901 31.979 42.8339 40.5505 1.75559 0.835557
203.026 257.992 75.4671 57.5649 83.7362 0.848178
225.797 36.7087 55.9647 52.6778 54.0563 0.81258
254.399 215.704 63.2135 32.3447 39.9187 0.802667
278.777 198.122 31.0932 28.8071 -55.5543 0.799526
32.0291 134.947 37.4523 33.2787 89.6675 0.792743
201.949 192.99 52.8996 44.8563 72.0204 0.81699
231.984 99.2809 89.0971 64.6573 -15.0643 0.785224
