# center_row center_col major_diameter minor_diameter angle_deg score
38.9332 219.065 81.1144 69.6792 -55.2583 0.929
205.208 176.732 77.9286 36.5011 -26.8264 0.818458
255.833 54.149 63.4349 58.7551 -30.8897 0.814429
80.9119 51.4756 76.757 57.8148 7.01114 0.811956
262.638 118.931 58.5273 43.5814 84.3008 0.825111
120.052 88.0306 69.5938 43.2853 -16.4051 0.829167
228.239 132.009 49.0235 28.8183 10.5911 0.806183
86.8416 157.082 90.7695 67.5448 78.4601 0.861556
34.0778 145.978 41.4993 35.4105 -10.3026 0.870054
134.782 171.77 67.5226 35.5137 83.9351 0.782797
149.241 235.519 69.5204 48.4151 -83.5156 0.784598
