# center_row center_col major_diameter minor_diameter angle_deg score
88.4652 47.2851 82.3872 78.2397 27.5171 0.92681
117.914 160.362 63.1716 59.446 -14.3808 0.92825
198.224 206.119 74.5387 68.3116 -69.597 0.921606
241.501 156.299 58.1292 50.3452 10.8506 0.931936
64.5535 191.238 50.0185 36.4782 53.3796 0.923849
42.5469 276.212 36.2759 33.1087 -3.08664 0.931521
187.512 159.242 41.3982 37.7995 -46.4283 0.908706
231.301 44.7143 64.0227 38.3767 26.6122 0.873535
64.9623 256.517 60.4065 45.6222 22.3601 0.901397
62.4949 88.2866 48.2593 36.3276 18.3593 0.895704
171.6 101.335 73.9211 43.5598 44.7456 0.92015
121.536 54.7804 83.242 41.1448 -4.0791 0.923355
165.468 232.176 47.5487 31.7487 -78.1315 0.927407
268.436 45.2101 65.5622 45.8664 -71.1198 0.933487
261.966 71.4503 65.5206 58.1195 55.8607 0.867593
76.3586 150.363 42.1768 40.0089 56.0442 0.875764
100.071 127.132 45.5968 35.8032 -4.60905 0.835895
35.3851 216.336 66.5001 53.794 47.6204 0.900777
154.705 116.794 47.303 33.4391 -63.1001 0.902375
227.208 119.382 62.0281 48.1512 85.7568 0.907639
