# center_row center_col major_diameter minor_diameter angle_deg score
115.504 85.2287 76.4486 74.2266 46.7876 0.957682
105.474 215.355 73.664 47.7218 30.1452 0.924929
227.807 267.512 69.2762 43.3473 19.1728 0.939425
77.5496 46.2102 81.6277 57.7131 56.1565 0.945674
178.569 58.3278 47.9665 37.4863 51.6482 0.952404
239.526 72.2459 75.3996 57.6299 6.43693 0.948452
218.614 160.358 81.7512 51.6018 21.1379 0.936451
51.0109 226.02 80.2536 49.492 11.266 0.922659
145.422 141.963 54.1087 42.0809 -16.6437 0.940205
162.499 255.294 72.4502 50.3503 -24.1793 0.943863
47.6088 109.804 68.5438 37.6272 -64.4546 0.903811
233.385 198.316 61.9946 60.1471 88.3055 0.911043
274.358 186.936 55.1617 28.3592 65.3127 0.814745
188.707 234.394 70.6289 34.2771 8.6105 0.789676
127.564 154.406 68.3523 41.8463 -38.0064 0.955299
70.4885 247.168 63.3005 39.8893 79.8709 0.878917
219.255 87.7644 61.567 52.3245 -61.9185 0.941487
262.613 133.379 74.4214 41.8328 -68.4446 0.862206
32.9357 144.89 59.5157 40.1083 50.1371 0.914249
