# center_row center_col major_diameter minor_diameter angle_deg score
161.33 119.037 163.056 159.867 -73.6596 0.981215
108.264 117.333 42.8813 41.8462 -88.8022 0.958219
128.966 75.7662 40.9053 40.3237 -77.9774 0.958223
125.23 160.77 37.6512 37.0525 82.0492 0.951827
167.785 62.1169 34.3975 33.821 -39.6348 0.946179
160.059 178.361 31.1782 30.6032 59.8348 0.942581
194.779 165.706 31.236 30.5839 41.5051 0.941495
219.027 102.136 28.1441 27.9903 -77.7923 0.930147
199.8 73.1487 26.3534 25.6072 20.0163 0.928286
216.88 138.42 25.7228 25.4958 -70.7575 0.936217
