# center_row center_col major_diameter minor_diameter angle_deg score
47.9991 219.969 62.7011 58.6216 -3.62421 0.955193
122.076 213.965 82.3977 48.8051 -21.0658 0.864394
244.985 208.991 49.2368 47.4644 -60.7192 0.934265
132.978 101.99 61.1731 33.4258 62.2913 0.809216
89.739 147.904 70.6093 53.522 -76.8449 0.850633
168.919 250.037 81.9556 32.8792 -82.1971 0.907994
33.9616 38.9594 45.2647 43.1811 -5.12939 0.851974
188.137 159.539 57.1546 51.4641 77.1016 0.784534
54.7937 63.8072 31.3671 28.8302 49.3153 0.806638
223.167 41.2426 93.5629 46.7097 -21.5538 0.824856
41.9047 169.071 39.2318 35.1223 50.8768 0.799703
