20
158.9718	236.1018	80.8088	46.0366	43.3616
158.9718	236.1018	88.8938	66.6214	-77.2906
158.9718	236.1018	84.3211	40.5597	-89.7481
158.9718	236.1018	96.7268	53.6190	-12.2462
355.2427	209.7999	98.7921	45.9804	64.4046
355.2427	209.7999	61.7999	42.7867	22.1559
355.2427	209.7999	97.8463	58.2177	-52.9039
355.2427	209.7999	94.1406	52.3067	17.8091
253.8595	436.2393	97.0864	49.9371	47.6293
253.8595	436.2393	72.5755	55.5227	-75.5904
253.8595	436.2393	47.4439	43.5397	55.7024
253.8595	436.2393	87.6223	40.3546	-9.2231
445.3878	321.7111	78.7131	66.8690	-47.4041
445.3878	321.7111	59.3817	46.7275	-34.6089
445.3878	321.7111	95.9181	45.7705	41.4892
445.3878	321.7111	98.8472	96.4237	17.8816
396.4796	462.8245	96.9002	40.3887	-24.7669
396.4796	462.8245	58.0278	41.1226	23.2839
396.4796	462.8245	97.1994	93.2098	-79.0684
396.4796	462.8245	75.0176	69.4973	15.1569
