# center_row center_col major_diameter minor_diameter angle_deg score
156.842 255.548 51.6992 27.1761 -87.1458 0.889642
316.952 304.148 77.9233 46.4943 -87.6535 0.909508
244.86 200.531 53.5316 30.0001 -86.5478 0.825369
161.474 172.213 50.9563 28.103 -85.4389 0.914835
339.417 229.583 75.1938 44.4613 -84.2527 0.900926
368.419 336.691 96.7083 62.5251 -88.0698 0.911877
329.657 144.011 105.009 62.59 -83.655 0.917595
242.918 286.165 70.3978 39.6476 -87.8538 0.910426
144.885 215.738 47.7832 24.1177 -83.7483 0.794483
198.531 247.5 94.0726 54.3203 -87.1173 0.839809
250.014 380.453 65.8629 35.5267 -89.6817 0.781488
