# center_row center_col major_diameter minor_diameter angle_deg score
249.88 238.951 78.7976 76.8999 55.0825 0.861212
137.025 257.003 77.4229 67.3522 70.1992 0.866142
69.0489 221.947 58.8299 30.9269 37.5997 0.911393
160.792 137.53 67.5049 39.1423 12.9878 0.811985
86.9907 112.254 68.3638 48.5057 64.1256 0.823162
202.085 197.01 51.1651 28.5232 13.7657 0.823152
35.5354 55.0682 82.5456 52.7782 48.1632 0.851609
259.979 128.958 76.5314 56.8666 -61.3613 0.784098
231.27 168.776 34.5186 33.6982 69.9616 0.81349
82.9464 186.022 48.5652 40.8215 80.397 0.800075
