# center_row center_col major_diameter minor_diameter angle_deg score
446.388 100.017 206.511 85.6281 -89.302 0.929246
308.132 101.028 150.206 51.5795 -89.2392 0.939666
216.813 216.883 157.501 44.3038 88.6626 0.941075
394.939 371.404 143.965 55.7521 87.3697 0.894384
251.334 354.516 145.079 41.3395 87.89 0.93959
200.492 421.664 130.791 35.9836 86.0551 0.837878
126.81 105.657 115.496 28.8398 89.627 0.909477
74.4931 118.531 92.6366 20.7875 89.7297 0.811107
89.1296 33.1355 75.4162 17.88 -89.5721 0.909627
126.699 298.336 85.186 22.0439 87.8452 0.838945
393.462 3.30676 33.6203 29.959 -69.153 0.872193
