# center_row center_col major_diameter minor_diameter angle_deg score
43.4906 77.1181 81.8016 41.6167 -66.1448 0.958481
219.567 48.2774 65.5646 61.7083 37.4472 0.965729
210.413 252.288 73.7553 55.7088 -15.5595 0.961471
184.623 173.321 72.007 58.1853 17.9327 0.901232
121.768 251.616 77.4684 49.9214 31.692 0.872264
253.201 125.278 60.8545 38.3442 9.99568 0.931498
123.466 81.216 82.3402 50.4278 -26.6629 0.943957
269.527 27.309 43.5676 37.6873 -25.8419 0.922128
71.2771 260.875 74.4502 54.5312 -65.6966 0.896466
175.426 240.916 69.4144 37.7348 82.7422 0.904183
156.338 76.4108 47.3768 46.4084 53.7484 0.945888
247.499 155.056 47.7027 33.6941 71.783 0.912933
123.776 147.413 76.8042 36.2261 20.4243 0.828081
258.576 216.246 60.0877 36.5429 41.5967 0.94649
278.471 233.145 49.439 33.7618 -68.2157 0.938474
172.458 138.295 50.3733 48.433 -46.2575 0.880974
85.59 33.6904 46.3112 40.1969 29.7185 0.924647
106.386 39.1045 60.3732 31.2287 -2.40827 0.932722
128.724 170.212 52.1292 33.7802 -16.6876 0.833808
69.5951 222.699 63.387 35.1854 26.226 0.856673
