# center_row center_col major_diameter minor_diameter angle_deg score
214.506 71.2802 77.7172 65.5932 41.4233 0.909874
116.46 204.124 98.1666 58.3367 -69.8184 0.958488
221.424 170.32 92.519 62.1295 -11.5132 0.967754
182.583 121.361 76.7591 35.9454 6.00663 0.874635
253.576 172.328 75.6102 73.4093 -24.6211 0.955761
52.5145 192.229 49.6271 47.6199 -29.9699 0.965108
236.514 253.318 62.2966 44.3587 10.6417 0.939074
119.617 118.291 44.5135 34.2713 8.26861 0.925411
258.948 71.8302 55.8003 30.6121 -39.9147 0.901688
151.468 102.163 55.996 40.5268 -52.8321 0.866702
267.649 114.363 45.4589 31.612 87.4165 0.891467
212.841 259.421 78.8624 38.3878 -80.7579 0.907781
