# center_row center_col major_diameter minor_diameter angle_deg score
243.007 237.015 86.8638 74.73 -32.7364 0.876641
35.9028 166.229 88.8514 51.129 72.334 0.86804
252.912 32.0257 56.8629 48.6222 -34.7696 0.897351
115.193 112.423 90.017 74.4512 -23.4732 0.902134
141.982 236.015 80.5725 72.7588 -83.2835 0.785264
263.901 94.9644 78.333 32.7773 49.5186 0.90323
138.049 23.9876 48.7037 34.6573 4.55177 0.90986
165.133 181.927 64.6574 40.387 37.4903 0.783688
212.145 55.9986 36.9932 30.9763 18.0894 0.818367
202.087 261.954 40.8838 40.6584 -33.2358 0.780555
