# center_row center_col major_diameter minor_diameter angle_deg score
232.012 49.0289 96.6641 56.6389 -51.7095 0.969171
73.0111 147.012 88.7415 46.7585 34.5955 0.892573
72.8482 223.303 101.961 94.845 83.9633 0.809753
138.778 216.031 80.685 61.252 -76.7187 0.858098
225.822 176.753 92.2167 73.2328 0.626397 0.808101
93.4712 53.0367 53.0323 49.6687 -52.3114 0.907498
166.585 116.89 56.7002 51.6224 -49.7188 0.785253
276.803 110.074 40.932 33.0098 -36.9619 0.813485
135.143 104.11 77.1887 58.8261 62.9924 0.783297
144.658 48.2828 55.0672 36.5008 30.3626 0.86464
