# center_row center_col major_diameter minor_diameter angle_deg score
264.529 243.187 92.2846 54.4098 72.1546 0.961017
34.5493 150.159 65.5929 49.7503 58.6631 0.970389
202.491 85.1599 100.066 54.2581 -87.3138 0.940132
123.412 36.4268 91.5725 40.2091 -11.6417 0.917421
54.5247 99.2544 51.6135 49.6027 -27.4073 0.938606
117.503 66.2492 70.1288 58.4518 61.4963 0.95058
52.4373 255.309 72.4741 62.3899 -9.85019 0.958639
183.472 98.2697 82.293 66.543 -37.8997 0.971282
49.3977 232.315 74.3944 60.3783 -34.4527 0.940486
136.036 212.878 68.9975 33.0538 10.0497 0.909028
26.4387 78.8825 44.5951 33.1587 -6.74205 0.922169
166.541 201.196 74.1216 50.4997 -17.7479 0.916683
156.417 153.315 56.4821 31.6706 2.49237 0.934624
